"Paper","Conference","Year","Type","Method","Scalable"
"Cui et al.","NDSS","2013","S","P","Y"
"Costin et al.","USENIX","2014","S","P","Y"
"Avatar","NDSS","2014","H","SE;HIL;E","N"
"Pewny et al.","SP","2015","S","CS","U"
"Firmalice","NDSS","2015","S","SE;FA","U"
"PIE","ACSAC","2015","S","FA;ML","U"
"FIRMADYNE","NDSS","2016","D","E","Y"
"discovRE","NDSS","2016","S","CS","Y"
"Costin et al.","Asia CCS","2016","H","P;E","Y"
"Genius","CCS","2016","S","CS;ML","Y"
"BootStomp","USENIX","2017","S","SE;FA","U"
"FirmUSB","CCS","2017","S","SE","U"
"Gemini","CCS","2017","S","CS;ML","Y"
"Muench et al.","NDSS","2018","H","E;HIL;F","N"
"DTaint","DSN","2018","S","FA","Y"
"Tian et al.","USENIX","2018","S","P","Y"
"VulSeeker","ASE","2018","S","CS;ML","Y"
"FirmUp","ASPLOS","2018","S","CS","Y"
"IoTFuzzer","NDSS","2018","D","HIL;F","N"
"FIRM-AFL","USENIX","2019","D","E;F","Y"
"FirmFuzz","IoT SP","2019","H","E;F","Y"
"SRFuzzer","ACSAC","2019","D","HIL;F","N"
"Pretender","RAID","2019","D","E;HIL","N"
"HALucinator","USENIX","2020","H","E;F","U"
"FirmScope","USENIX","2020","S","FA","Y"
"PDiff","CCS","2020","S","SA","Y"
"P$^2$IM","USENIX","2020","H","E;F","U"
"Karonte","SP","2020","S","FA","Y"
"Laelaps","ACSAC","2020","H","E;SE;F","Y"
"FirmAE","ACSAC","2020","H","E;F","Y"
"CPscan","CCS","2021","S","FA","Y"
"Diane","SP","2021","H","HIL;FA;F","N"
"DICE","SP","2021","D","E;F","Y"
"ECMO","CCS","2021","H","E","Y"
"iFIZZ","ASE","2021","H","E;HIL;F","U"
"Jetset","USENIX","2021","H","SE;E","U"
"SaTC","USENIX","2021","S","FA","Y"
"Snipuzz","CCS","2021","D","HIL;F","N"
"$\mu$Emu","USENIX","2021","H","SE;E;F","Y"
"SymLM","CCS","2022","S","ML","Y"
"Marcelli et al.","USENIX","2022","S","ML","Y"
"Greenhouse","USENIX","2023","H","E;FA;F","Y"
"FirmSolo","USENIX","2023","H","E;F","Y"
"VulHawk","NDSS","2023","S","CS;ML","Y"
