"Paper","Packed","Unpacked","Deduplication","Unpack Proc.","Reasoning","Acquisition","Vulnerabilities","Rel. Dates","Versions","Links","Hashes","Manufacturer","Models","Dev. Classes","ISAs","FW Types"
"Cui et al.","373","N","N","Y","Y","N","Y","Y","U","N","N","1","63","1","2","II"
"Costin et al.","32356","26275","N","Y","U","S","U","N","N","Y","Y","U","U","U","U","U"
"Avatar","3","3","Y","N","Y","M","U","N","N","N","N","3","3","3","1","II;III"
"Pewny et al.","6","6","Y","N","Y","M","Y","N","Y","Y","N","6","6","3","3","0;I"
"PIE","4","4","Y","N","U","N","N","N","N","N","N","U","4","4","1","III"
"Firmalice","3","3","Y","N","Y","M","Y","N","N","N","N","3","3","3","2","I"
"FIRMADYNE","23035","9486","Y","Y","U","S","Y","Y","Y","Y","Y","42","U","U","7","I;II"
"discovRE","3","3","Y","N","Y","M","Y","N","Y","Y","Y","3","3","3","4","0;I"
"Costin et al.","1925","246","N","N","Y","N","U","N","U","N","N","U","U","U","9","I"
"Genius","33045","8126","N","N","N","S;R","U","N","N","Y","N","26","U","U","U","U"
"BootStomp","5","5","Y","U","Y","M","Y","N","U","N","N","4","4","1","1","III"
"FirmUSB","2","2","Y","U","N","M","N","N","N","N","N","2","2","1","U","III"
"Gemini","33045","8126","N","N","N","R","U","N","N","Y","N","26","U","U","U","U"
"Muench et al.","4","4","Y","N","Y","M","U","N","N","N","N","4","4","4","1","0;I;II;III"
"DTaint","6","6","Y","N","Y","N","Y","N","Y","N","N","4","6","U","2","I"
"Tian et al.","2018","U","N","Y","Y","S","NA","N","Y","U","N","11","U","1","NA","I"
"VulSeeker","4643","N","N","U","N","R","U","N","N","Y","N","U","U","U","U","U"
"FirmUp","U 5000","U","N","Y","N","S","Y","N","N","N","N","U","U","U","U","U"
"IoTFuzzer","17","NA","Y","NA","Y","N","Y","N","Y","N","N","12","17","10","U","U"
"FIRM-AFL","11","11","Y","N","N","M;R","Y","N","Y","N","N","5","11","2","U","I"
"FirmFuzz","6427","1013","Y","N","Y","S","Y","N","N","N","N","3","U","1","2","I"
"SRFuzzer","10","NA","Y","NA","N","M","N","N","Y","N","N","5","10","1","2","U"
"Pretender","6","NA","Y","NA","U","M","N","N","N","Y","Y","2","3","1","1","III"
"HALucinator","16","16","Y","N","Y","M","U","N","N","Y","N","3","4","1","1","III"
"FirmScope","2017","U","N","Y","U","S","Y","N","N","U","N","99+","U","1","NA","I"
"PDiff","715","N","N","N","N","N","Y","N","N","N","N","8","U","3","2","I"
"P$^2$IM","10","10","Y","U","Y","M","N","N","N","Y","N","3","4","10","1","II;;III"
"Karonte","53;899","U","Y","Y","Y","S;R","Y","Y","Y","Y","Y","25","U","U","3","I;II;III"
"Laelaps","30","NA","Y","U","Y","N","N","N","N","N","N","2","4","24","1","II;III"
"FirmAE","1306","1124","Y","Y","Y","S","Y","Y","N","Y","Y","8","U","2","2","I"
"CPscan","28","28","Y","N","N","N","N","N","Y","N","N","10","28","U","U","I"
"Diane","11","NA","Y","NA","N","N","Y","N","Y","N","N","9","11","4","U","U"
"DICE","7","NA","Y","NA","Y","M","N","N","N","Y","N","6","7","7","1","II;III"
"ECMO","815","815","N","Y","U","N","N","N","N","N","N","2","37","1","1","I"
"iFIZZ","10","10","Y","Y","Y","N","U","N","Y","N","N","7","10","4","2","I"
"Jetset","13","13","Y","N","U","M;R","N","N","N","N","N","4","13","3","3","I;II;III"
"SaTC","39;49","39;49","Y","Y","N","N;R","N","N","Y","Y","Y","6;4","6;U","2;U","2;3","U"
"Snipuzz","20","NA","N","NA","Y","M","N","N","Y","N","N","17","20","8","U","U"
"$\mu$Emu","21","21","Y","N","N","M;R","Y","N","Y","Y","N","U","21","U","1","II;III"
"SymLM","8","8","Y","N","U","R","NA","N","N","N","N","U","8","U","1","II;III"
"Marcelli et al.","2","2","Y","N","Y","M","Y","N","N","N","N","2","2","1","2","I"
"Greenhouse","7141","6931","Y","Y","Y","S;R","Y","N","N","N","N","9","1764","2","3","I"
"FirmSolo","8787","1470","Y","U","Y","N;R","Y","N","U","U","N","U","U","U","2","I"
"VulHawk","20","20","N","N","N","N","Y","N","N","N","N","3","20","U","U","U"
